TLM,Toledo Maumees,1890,1890,1
NYU,New York Mutuals,1876,1876,1
NYI,New York Giants,1890,1890,1
KEK,Fort Wayne Kekiongas,1871,1871,1
ATL,Boston Rustlers,1911,1911,1
SYS,Syracuse Stars,1890,1890,1
IHO,Indianapolis Hoosiers,1884,1884,1
MIL,Seattle Pilots,1969,1969,1
SYR,Syracuse Stars,1879,1879,1
NEW,Newark Pepper,1915,1915,1
RES,Elizabeth Resolutes,1873,1873,1
NHV,New Haven Elm Citys,1875,1875,1
WNT,Washington Nationals,1875,1875,1
CHH,Chicago Chi-Feds,1914,1914,1
BFB,Buffalo Bisons,1890,1890,1
KCU,Kansas City Cowboys,1884,1884,1
RIC,Richmond Virginians,1884,1884,1
BWW,Brooklyn Ward's Wonders,1890,1890,1
WES,Keokuk Westerns,1875,1875,1
CPI,Chicago/Pittsburgh (Union League),1884,1884,1
BRG,Brooklyn Gladiators,1890,1890,1
STP,St. Paul White Caps,1884,1884,1
COR,Cincinnati Outlaw Reds,1884,1884,1
ATH,Philadelphia Athletics,1876,1876,1
BAL,Milwaukee Brewers,1901,1901,1
BFL,Buffalo Buffeds,1914,1914,1
MLG,Milwaukee Grays,1878,1878,1
BRD,Boston Reds,1884,1884,1
ALT,Altoona Mountain City,1884,1884,1
ROC,Rochester Broncos,1890,1890,1
WST,Washington Nationals,1884,1884,1
NEW,Indianapolis Hoosiers,1914,1914,1
ECK,Brooklyn Eckfords,1872,1872,1
WNA,Washington Nationals,1884,1884,1
KCN,Kansas City Cowboys,1886,1886,1
BLU,Baltimore Monumentals,1884,1884,1
WIL,Wilmington Quicksteps,1884,1884,1
SNA,St. Louis Brown Stockings,1875,1875,1
SLR,St. Louis Red Stockings,1875,1875,1
MAR,Baltimore Marylands,1873,1873,1
PHK,Philadelphia Keystones,1884,1884,1
CHP,Chicago Pirates,1890,1890,1
TOL,Toledo Blue Stockings,1884,1884,1
MLA,Milwaukee Brewers,1891,1891,1
CLE,Cleveland Bronchos,1902,1902,1
