2009,Los Angeles Angels of Anaheim,400000,18000000,17600000
2009,Seattle Mariners,400000,18000000,17600000
2011,Seattle Mariners,414000,18000000,17586000
2010,Colorado Rockies,401000,17775000,17374000
2013,Los Angeles Angels of Anaheim,490000,17400000,16910000
2004,New York Mets,300000,17166667,16866667
2003,New York Mets,300000,17166667,16866667
2008,Seattle Mariners,390000,17102149,16712149
2005,Baltimore Orioles,316000,17000000,16684000
2007,Boston Red Sox,380000,17016381,16636381
2011,Boston Red Sox,417000,17000000,16583000
2012,Chicago White Sox,480000,17000000,16520000
2004,Los Angeles Dodgers,301000,16666667,16365667
2006,Colorado Rockies,327000,16600000,16273000
2007,Colorado Rockies,381000,16600000,16219000
2008,Colorado Rockies,390000,16600000,16210000
2009,Colorado Rockies,401000,16600000,16199000
2008,Los Angeles Angels of Anaheim,390000,16500000,16110000
2013,Washington Nationals,493000,16571429,16078429
2012,Pittsburgh Pirates,480000,16500000,16020000
2013,Pittsburgh Pirates,493500,16500000,16006500
2010,St. Louis Cardinals,400000,16333327,15933327
2011,St. Louis Cardinals,414000,16317774,15903774
2006,Detroit Tigers,327000,16200000,15873000
2012,St. Louis Cardinals,480000,16292362,15812362
2013,St. Louis Cardinals,490000,16272110,15782110
2005,Atlanta Braves,300000,16061802,15761802
2011,Texas Rangers,414000,16174974,15760974
2005,New York Mets,317000,16071429,15754429
2004,Arizona Diamondbacks,300000,16000000,15700000
2004,Chicago Cubs,300000,16000000,15700000
2003,Chicago Cubs,305000,16000000,15695000
2012,Texas Rangers,480000,16174974,15694974
2004,Houston Astros,307500,16000000,15692500
2013,Chicago White Sox,490500,16157271,15666771
2007,Los Angeles Angels of Anaheim,380000,16000000,15620000
2008,Chicago Cubs,391500,16000000,15608500
2011,Chicago White Sox,414000,16000000,15586000
2008,Atlanta Braves,390000,15975184,15585184
2001,Los Angeles Dodgers,200000,15714286,15514286
2013,Texas Rangers,490000,16000000,15510000
2000,Los Angeles Dodgers,205000,15714286,15509286
2014,Milwaukee Brewers,500000,16000000,15500000
2014,Colorado Rockies,500000,16000000,15500000
2002,Los Angeles Dodgers,215000,15714286,15499286
2014,Toronto Blue Jays,501900,16000000,15498100
2014,Boston Red Sox,502000,16000000,15498000
2013,Boston Red Sox,498000,15950000,15452000
2003,Los Angeles Dodgers,300000,15714286,15414286
2008,Detroit Tigers,390000,15768174,15378174
2008,Los Angeles Dodgers,390000,15730195,15340195
2007,Los Angeles Dodgers,381000,15703946,15322946
2003,New York Yankees,300000,15600000,15300000
2016,Houston Astros,507500,15800000,15292500
2010,Toronto Blue Jays,400700,15687500,15286800
2008,Chicago White Sox,392500,15666666,15274166
2002,Boston Red Sox,200000,15462727,15262727
2015,Chicago White Sox,510000,15750000,15240000
2016,Chicago White Sox,513000,15750000,15237000
2003,San Francisco Giants,300000,15500000,15200000
2006,San Diego Padres,327000,15505142,15178142
2007,San Francisco Giants,380000,15533970,15153970
2007,Seattle Mariners,380000,15500000,15120000
2009,Atlanta Braves,400000,15500000,15100000
2011,Milwaukee Brewers,414000,15500000,15086000
2004,Atlanta Braves,300000,15333333,15033333
2013,Baltimore Orioles,490000,15350000,14860000
2002,San Francisco Giants,200000,15000000,14800000
2002,Chicago Cubs,203500,15000000,14796500
1998,Florida Marlins,170000,14936667,14766667
2008,Arizona Diamondbacks,390000,15100546,14710546
2003,Arizona Diamondbacks,300000,15000000,14700000
2005,Texas Rangers,316000,15000000,14684000
2010,Atlanta Braves,400000,15000000,14600000
2010,Minnesota Twins,400000,15000000,14600000
2009,Philadelphia Phillies,400000,15000000,14600000
2010,Chicago White Sox,400000,15000000,14600000
2011,Atlanta Braves,414000,15000000,14586000
2006,New York Mets,327000,14875000,14548000
2012,Cleveland Indians,480000,15000000,14520000
2014,Chicago White Sox,500000,15000000,14500000
2014,Baltimore Orioles,500500,15000000,14499500
2014,Cleveland Indians,501500,15000000,14498500
2015,Cleveland Indians,507700,15000000,14492300
2007,Chicago White Sox,380000,14833333,14453333
2003,Atlanta Braves,300000,14750000,14450000
2008,Houston Astros,390000,14811414,14421414
2002,New York Yankees,210000,14600000,14390000
2006,Atlanta Braves,327000,14503543,14176543
2007,Atlanta Braves,380000,14500000,14120000
2007,Houston Astros,380000,14500000,14120000
2007,New York Mets,380000,14500000,14120000
2008,San Francisco Giants,390000,14500000,14110000
